Model,Accuracy,Precision,Recall,F1 Score
Random Forest,0.7364185110663984,0.7493337875823869,0.7364185110663984,0.7170792773630419
Linear SVM,0.710261569416499,0.7166032635593567,0.710261569416499,0.7029363043074457
Logistic Regression,0.6659959758551308,0.6696413769053341,0.6659959758551308,0.6502044516702591
KNN,0.5814889336016097,0.5884391362125363,0.5814889336016097,0.5652756272632391
Decision Tree,0.5774647887323944,0.5883567343230376,0.5774647887323944,0.5757662502357275
Multinomial Naive Bayes,0.5553319919517102,0.6123633999721827,0.5553319919517102,0.5181057298681909
